turn,q_index,lang,lang_id,rule_desc,input,target,pred,ce_query,conf_context,zslow_rule_l1,zslow_think_l1,zlang_norm,mem_items,timestamp
286,1,en,1,en: build acronym and append token count,secure channel handshake sequence,SCHS (4),[EEUTE E A OEn HAODUHAEE SETUEEEE],4.3471,0.3009,4.6212,9.2944,10.8949,289,2025-10-17T13:19:10
287,0,base,0,base: evaluate arithmetic expression,calc(9*(4+3)),63,41443  ,3.4536,0.3473,4.4917,9.246,11.5183,290,2025-10-17T13:19:10
287,1,base,0,base: evaluate arithmetic expression,120/(4+6),120/(4+6),111 ,3.4536,0.3473,4.4917,9.246,11.5183,290,2025-10-17T13:19:10
288,0,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 9,sum=81,sumsq 9,3.6928,0.3286,4.1103,7.1899,11.5183,291,2025-10-17T13:19:10
288,1,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 2 3 6 1,sum=50,sumsq 2 3 6 1,3.6928,0.3286,4.1103,7.1899,11.5183,291,2025-10-17T13:19:10
289,0,base,0,base: factorial -> return n!,fact 7,5040,f0f,2.4615,0.3635,6.5088,8.3265,11.5183,292,2025-10-17T13:19:10
289,1,base,0,base: factorial -> return n!,fact 2,2,f0fv 2,2.4615,0.3635,6.5088,8.3265,11.5183,292,2025-10-17T13:19:10
290,0,base,0,base: range -> output span between max and min,range 100 60 80,span=40,(0nig 100060080,4.1893,0.3,5.7958,8.2423,11.5183,293,2025-10-17T13:19:10
290,1,base,0,base: range -> output span between max and min,range -3 -7 -1,span=6,(0nig -3 -7 -1,4.1893,0.3,5.7958,8.2423,11.5183,293,2025-10-17T13:19:10
291,0,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,연구 자 들 은 회의 에서 계획 을 공유 했다,연구 자 들 «은» 회의 «에서» 계획 «을» 공유 했다요,구 자 볤츘계썄찄,5.0286,0.2615,9.2188,14.9556,11.4583,294,2025-10-17T13:19:11
291,1,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,엔지니어 가 새로운 기능 을 배포 했다,엔지니어 «가» 새로운 기능 «을» 배포 했다요,[간됼찄 배,5.0286,0.2615,9.2188,14.9556,11.4583,294,2025-10-17T13:19:11
292,0,ko,2,ko: 날짜를 ISO 형태로 변환,점검 2021년 7월 21일 완료,점검 2021-07-21 완료,점겙 2021-02-22 확인  ,1.2962,0.4059,8.8508,14.917,11.4583,295,2025-10-17T13:19:11
292,1,ko,2,ko: 날짜를 ISO 형태로 변환,데모 2020.11.30 준비,데모 2020-11-30 준비,데모 2020-11-30 요,1.2962,0.4059,8.8508,14.917,11.4583,295,2025-10-17T13:19:11
293,0,ko,2,ko: 숫자를 괄호로 감싸기,라운드 9 에서 2 득점,라운드 【9】 에서 【2】 득점,홓]]]]]]]]]]]]]]]]]]]]]])]]])]]]]])]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],4.6941,0.276,10.7169,18.1463,11.4583,296,2025-10-17T13:19:11
293,1,ko,2,ko: 숫자를 괄호로 감싸기,피드백 6 건 5 처리,피드백 【6】 건 【5】 처리,[[볜   리,4.6941,0.276,10.7169,18.1463,11.4583,296,2025-10-17T13:19:11
294,0,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,환경 설정 매뉴얼 검토,검토 매뉴얼 설정 환경 입니다,[ꬊ섋 )]])))]]]),4.4236,0.3015,11.4657,19.8226,11.4583,297,2025-10-17T13:19:11
294,1,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,학습 파이프라인 재구성,재구성 파이프라인 학습 입니다,< 밼]]),4.4236,0.3015,11.4657,19.8226,11.4583,297,2025-10-17T13:19:11
295,0,ja,3,ja: ひらがな を カタカナ に 変換,ほうこく を まとめる,ホウコク ヲ マトメル,アゆコク ヲ ゞエヂル,1.2995,0.4484,8.6864,14.8309,11.3929,298,2025-10-17T13:19:11
295,1,ja,3,ja: ひらがな を カタカナ に 変換,れんしゅう を つづける,レンシュウ ヲ ツヅケル,ガンシワエ ヲ イもケル,1.2995,0.4484,8.6864,14.8309,11.3929,298,2025-10-17T13:19:11
296,0,ja,3,ja: カタカナ を ひらがな に 変換,モデル ガ スタート,もでる が すたーと,ぢでに ガ タぼぁ,1.7198,0.4123,6.523,12.5118,11.3929,299,2025-10-17T13:19:11
296,1,ja,3,ja: カタカナ を ひらがな に 変換,プラン を コンファーム,ぷらん を こんふぁーむ,しぼぁ を めっぁめぼム,1.7198,0.4123,6.523,12.5118,11.3929,299,2025-10-17T13:19:11
297,0,ja,3,ja: 半角数字 を 全角 に,進捗 88 99,進捗 ８８ ９９,ゲ㍗  .)〚))))))))))))))),3.9518,0.2718,6.4096,13.1803,11.3929,300,2025-10-17T13:19:11
297,1,ja,3,ja: 半角数字 を 全角 に,チェック 321,チェック ３２１,もェヂク 21ェ.。))ェも㧂)もももももももも,3.9518,0.2718,6.4096,13.1803,11.3929,300,2025-10-17T13:19:11
298,0,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,배포 schedule final 확정,확정 FINAL SCHEDULE 배포,[[               )]]))),4.7734,0.2763,9.0079,18.1621,11.4583,301,2025-10-17T13:19:11
298,1,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,사용자 feedback queue 정리,정리 QUEUE FEEDBACK 사용자,[[         ],4.7734,0.2763,9.0079,18.1621,11.4583,301,2025-10-17T13:19:11
299,0,base,0,base: sort tokens by length ascending,agent plan code spec,plan code spec agent,cia  e    ee  aeu ae,2.9406,0.3598,7.8984,16.4174,11.5183,302,2025-10-17T13:19:11
299,1,base,0,base: sort tokens by length ascending,shift align scale move,move shift align scale,[   ee   i euee ie    ,2.9406,0.3598,7.8984,16.4174,11.5183,302,2025-10-17T13:19:11
300,0,en,1,en: keep tokens containing at least two vowels,vivid aurora covers entire horizon,vivid aurora covers entire horizon,vivid aurora eovers entire horibon,0.3014,0.4384,4.6891,8.8538,10.8949,303,2025-10-17T13:19:11
300,1,en,1,en: keep tokens containing at least two vowels,shallow river carries smooth pebbles,shallow river carries smooth pebbles,shallow river earries smooth rebbles,0.3014,0.4384,4.6891,8.8538,10.8949,303,2025-10-17T13:19:11
301,0,en,1,en: reverse tokens then uppercase every 2nd token,hidden lantern guides travelers,TRAVELERS guides LANTERN hidden,[[nnE       u       u  u  EnEuu]]],3.7936,0.3266,4.5161,10.4673,10.8949,304,2025-10-17T13:19:11
301,1,en,1,en: reverse tokens then uppercase every 2nd token,autumn breeze wakes valley,VALLEY wakes BREEZE autumn,[[v     uu b      u       ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],3.7936,0.3266,4.5161,10.4673,10.8949,304,2025-10-17T13:19:11
302,0,en,1,en: dedupe tokens then wrap digits with [],memory 8 pulse 8 pulse,memory [8] pulse,memoub 8 runse 8 rulue,2.9901,0.3604,3.2422,7.4321,10.8949,305,2025-10-17T13:19:11
302,1,en,1,en: dedupe tokens then wrap digits with [],matrix 1 1 1 reboot,matrix [1] reboot,oattix   1 1 reboot,2.9901,0.3604,3.2422,7.4321,10.8949,305,2025-10-17T13:19:11
303,0,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,vector field gamma delta,XGEVQT hkgnf icooc FGNVC,VECToR fIeLD gaMoa DELTA,2.4943,0.381,4.0776,7.8918,10.8949,306,2025-10-17T13:19:12
303,1,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,alpha beta gamma delta,CNRJC dgvc icooc FGNVC,ALPHa beta gappA DELTa,2.4943,0.381,4.0776,7.8918,10.8949,306,2025-10-17T13:19:12
304,0,base,0,base: add << >> then sort numeric tokens descending,memory 9 0 3 3,<<memory 9 3 0 3>>,ogo      0    ,2.7224,0.3722,3.7816,7.5752,11.5183,307,2025-10-17T13:19:12
304,1,base,0,base: add << >> then sort numeric tokens descending,signal 4 4 9 7,<<signal 9 4 4 7>>,[ i      4    ,2.7224,0.3722,3.7816,7.5752,11.5183,307,2025-10-17T13:19:12
305,0,en,1,en: append #index (1-based) to each token,gather labeled events nightly,gather#1 labeled#2 events#3 nightly#4,idvjgu nddgngd gvgpvu p ijvna],4.7287,0.2766,3.4768,7.1612,10.8949,308,2025-10-17T13:19:12
305,1,en,1,en: append #index (1-based) to each token,render summary table view,render#1 summary#2 table#3 view#4,u[pdgu uuoodub vdbng vlgw]]]]]],4.7287,0.2766,3.4768,7.1612,10.8949,308,2025-10-17T13:19:12
306,0,en,1,en: build acronym and append token count,neural task alignment process,NTAP (4),[[UTAE  Au  AnII EEOT sTOEEuu],4.3471,0.3009,4.6212,9.2944,10.8949,309,2025-10-17T13:19:12
306,1,en,1,en: build acronym and append token count,secure channel handshake sequence,SCHS (4),[EEUTE E A OEn HAODUHAEE SETUEEEE],4.3471,0.3009,4.6212,9.2944,10.8949,309,2025-10-17T13:19:12
307,0,base,0,base: evaluate arithmetic expression,calc(9*(4+3)),63,41443  ,3.4536,0.3473,4.4917,9.246,11.5183,310,2025-10-17T13:19:12
307,1,base,0,base: evaluate arithmetic expression,120/(4+6),120/(4+6),111 ,3.4536,0.3473,4.4917,9.246,11.5183,310,2025-10-17T13:19:12
308,0,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 9,sum=81,sumsq 9,3.6928,0.3286,4.1103,7.1899,11.5183,311,2025-10-17T13:19:12
308,1,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 2 3 6 1,sum=50,sumsq 2 3 6 1,3.6928,0.3286,4.1103,7.1899,11.5183,311,2025-10-17T13:19:12
309,0,base,0,base: factorial -> return n!,fact 7,5040,f0f,2.4615,0.3635,6.5088,8.3265,11.5183,312,2025-10-17T13:19:12
309,1,base,0,base: factorial -> return n!,fact 2,2,f0fv 2,2.4615,0.3635,6.5088,8.3265,11.5183,312,2025-10-17T13:19:12
310,0,base,0,base: range -> output span between max and min,range 100 60 80,span=40,(0nig 100060080,4.1893,0.3,5.7958,8.2423,11.5183,313,2025-10-17T13:19:12
310,1,base,0,base: range -> output span between max and min,range -3 -7 -1,span=6,(0nig -3 -7 -1,4.1893,0.3,5.7958,8.2423,11.5183,313,2025-10-17T13:19:12
311,0,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,연구 자 들 은 회의 에서 계획 을 공유 했다,연구 자 들 «은» 회의 «에서» 계획 «을» 공유 했다요,구 자 볤츘계썄찄,5.0286,0.2615,9.2188,14.9556,11.4583,314,2025-10-17T13:19:12
311,1,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,엔지니어 가 새로운 기능 을 배포 했다,엔지니어 «가» 새로운 기능 «을» 배포 했다요,[간됼찄 배,5.0286,0.2615,9.2188,14.9556,11.4583,314,2025-10-17T13:19:12
312,0,ko,2,ko: 날짜를 ISO 형태로 변환,점검 2021년 7월 21일 완료,점검 2021-07-21 완료,점겙 2021-02-22 확인  ,1.2962,0.4059,8.8508,14.917,11.4583,315,2025-10-17T13:19:12
312,1,ko,2,ko: 날짜를 ISO 형태로 변환,데모 2020.11.30 준비,데모 2020-11-30 준비,데모 2020-11-30 요,1.2962,0.4059,8.8508,14.917,11.4583,315,2025-10-17T13:19:12
313,0,ko,2,ko: 숫자를 괄호로 감싸기,라운드 9 에서 2 득점,라운드 【9】 에서 【2】 득점,홓]]]]]]]]]]]]]]]]]]]]]])]]])]]]]])]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],4.6941,0.276,10.7169,18.1463,11.4583,316,2025-10-17T13:19:12
313,1,ko,2,ko: 숫자를 괄호로 감싸기,피드백 6 건 5 처리,피드백 【6】 건 【5】 처리,[[볜   리,4.6941,0.276,10.7169,18.1463,11.4583,316,2025-10-17T13:19:12
314,0,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,환경 설정 매뉴얼 검토,검토 매뉴얼 설정 환경 입니다,[ꬊ섋 )]])))]]]),4.4236,0.3015,11.4657,19.8226,11.4583,317,2025-10-17T13:19:12
314,1,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,학습 파이프라인 재구성,재구성 파이프라인 학습 입니다,< 밼]]),4.4236,0.3015,11.4657,19.8226,11.4583,317,2025-10-17T13:19:12
315,0,ja,3,ja: ひらがな を カタカナ に 変換,ほうこく を まとめる,ホウコク ヲ マトメル,アゆコク ヲ ゞエヂル,1.2995,0.4484,8.6864,14.8309,11.3929,318,2025-10-17T13:19:13
315,1,ja,3,ja: ひらがな を カタカナ に 変換,れんしゅう を つづける,レンシュウ ヲ ツヅケル,ガンシワエ ヲ イもケル,1.2995,0.4484,8.6864,14.8309,11.3929,318,2025-10-17T13:19:13
316,0,ja,3,ja: カタカナ を ひらがな に 変換,モデル ガ スタート,もでる が すたーと,ぢでに ガ タぼぁ,1.7198,0.4123,6.523,12.5118,11.3929,319,2025-10-17T13:19:13
316,1,ja,3,ja: カタカナ を ひらがな に 変換,プラン を コンファーム,ぷらん を こんふぁーむ,しぼぁ を めっぁめぼム,1.7198,0.4123,6.523,12.5118,11.3929,319,2025-10-17T13:19:13
317,0,ja,3,ja: 半角数字 を 全角 に,進捗 88 99,進捗 ８８ ９９,ゲ㍗  .)〚))))))))))))))),3.9518,0.2718,6.4096,13.1803,11.3929,320,2025-10-17T13:19:13
317,1,ja,3,ja: 半角数字 を 全角 に,チェック 321,チェック ３２１,もェヂク 21ェ.。))ェも㧂)もももももももも,3.9518,0.2718,6.4096,13.1803,11.3929,320,2025-10-17T13:19:13
318,0,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,배포 schedule final 확정,확정 FINAL SCHEDULE 배포,[[               )]]))),4.7734,0.2763,9.0079,18.1621,11.4583,321,2025-10-17T13:19:13
318,1,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,사용자 feedback queue 정리,정리 QUEUE FEEDBACK 사용자,[[         ],4.7734,0.2763,9.0079,18.1621,11.4583,321,2025-10-17T13:19:13
319,0,base,0,base: sort tokens by length ascending,agent plan code spec,plan code spec agent,cia  e    ee  aeu ae,2.9406,0.3598,7.8984,16.4174,11.5183,322,2025-10-17T13:19:13
319,1,base,0,base: sort tokens by length ascending,shift align scale move,move shift align scale,[   ee   i euee ie    ,2.9406,0.3598,7.8984,16.4174,11.5183,322,2025-10-17T13:19:13
320,0,en,1,en: keep tokens containing at least two vowels,vivid aurora covers entire horizon,vivid aurora covers entire horizon,vivid aurora eovers entire horibon,0.3014,0.4384,4.6891,8.8538,10.8949,323,2025-10-17T13:19:13
320,1,en,1,en: keep tokens containing at least two vowels,shallow river carries smooth pebbles,shallow river carries smooth pebbles,shallow river earries smooth rebbles,0.3014,0.4384,4.6891,8.8538,10.8949,323,2025-10-17T13:19:13
321,0,en,1,en: reverse tokens then uppercase every 2nd token,hidden lantern guides travelers,TRAVELERS guides LANTERN hidden,[[nnE       u       u  u  EnEuu]]],3.7936,0.3266,4.5161,10.4673,10.8949,324,2025-10-17T13:19:13
321,1,en,1,en: reverse tokens then uppercase every 2nd token,autumn breeze wakes valley,VALLEY wakes BREEZE autumn,[[v     uu b      u       ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],3.7936,0.3266,4.5161,10.4673,10.8949,324,2025-10-17T13:19:13
322,0,en,1,en: dedupe tokens then wrap digits with [],memory 8 pulse 8 pulse,memory [8] pulse,memoub 8 runse 8 rulue,2.9901,0.3604,3.2422,7.4321,10.8949,325,2025-10-17T13:19:13
322,1,en,1,en: dedupe tokens then wrap digits with [],matrix 1 1 1 reboot,matrix [1] reboot,oattix   1 1 reboot,2.9901,0.3604,3.2422,7.4321,10.8949,325,2025-10-17T13:19:13
323,0,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,vector field gamma delta,XGEVQT hkgnf icooc FGNVC,VECToR fIeLD gaMoa DELTA,2.4943,0.381,4.0776,7.8918,10.8949,326,2025-10-17T13:19:13
323,1,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,alpha beta gamma delta,CNRJC dgvc icooc FGNVC,ALPHa beta gappA DELTa,2.4943,0.381,4.0776,7.8918,10.8949,326,2025-10-17T13:19:13
324,0,base,0,base: add << >> then sort numeric tokens descending,memory 9 0 3 3,<<memory 9 3 0 3>>,ogo      0    ,2.7224,0.3722,3.7816,7.5752,11.5183,327,2025-10-17T13:19:13
324,1,base,0,base: add << >> then sort numeric tokens descending,signal 4 4 9 7,<<signal 9 4 4 7>>,[ i      4    ,2.7224,0.3722,3.7816,7.5752,11.5183,327,2025-10-17T13:19:13
325,0,en,1,en: append #index (1-based) to each token,gather labeled events nightly,gather#1 labeled#2 events#3 nightly#4,idvjgu nddgngd gvgpvu p ijvna],4.7287,0.2766,3.4768,7.1612,10.8949,328,2025-10-17T13:19:13
325,1,en,1,en: append #index (1-based) to each token,render summary table view,render#1 summary#2 table#3 view#4,u[pdgu uuoodub vdbng vlgw]]]]]],4.7287,0.2766,3.4768,7.1612,10.8949,328,2025-10-17T13:19:13
326,0,en,1,en: build acronym and append token count,neural task alignment process,NTAP (4),[[UTAE  Au  AnII EEOT sTOEEuu],4.3471,0.3009,4.6212,9.2944,10.8949,329,2025-10-17T13:19:13
326,1,en,1,en: build acronym and append token count,secure channel handshake sequence,SCHS (4),[EEUTE E A OEn HAODUHAEE SETUEEEE],4.3471,0.3009,4.6212,9.2944,10.8949,329,2025-10-17T13:19:13
327,0,base,0,base: evaluate arithmetic expression,calc(9*(4+3)),63,41443  ,3.4536,0.3473,4.4917,9.246,11.5183,330,2025-10-17T13:19:13
327,1,base,0,base: evaluate arithmetic expression,120/(4+6),120/(4+6),111 ,3.4536,0.3473,4.4917,9.246,11.5183,330,2025-10-17T13:19:13
328,0,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 9,sum=81,sumsq 9,3.6928,0.3286,4.1103,7.1899,11.5183,331,2025-10-17T13:19:14
328,1,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 2 3 6 1,sum=50,sumsq 2 3 6 1,3.6928,0.3286,4.1103,7.1899,11.5183,331,2025-10-17T13:19:14
329,0,base,0,base: factorial -> return n!,fact 7,5040,f0f,2.4615,0.3635,6.5088,8.3265,11.5183,332,2025-10-17T13:19:14
329,1,base,0,base: factorial -> return n!,fact 2,2,f0fv 2,2.4615,0.3635,6.5088,8.3265,11.5183,332,2025-10-17T13:19:14
330,0,base,0,base: range -> output span between max and min,range 100 60 80,span=40,(0nig 100060080,4.1893,0.3,5.7958,8.2423,11.5183,333,2025-10-17T13:19:14
330,1,base,0,base: range -> output span between max and min,range -3 -7 -1,span=6,(0nig -3 -7 -1,4.1893,0.3,5.7958,8.2423,11.5183,333,2025-10-17T13:19:14
331,0,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,연구 자 들 은 회의 에서 계획 을 공유 했다,연구 자 들 «은» 회의 «에서» 계획 «을» 공유 했다요,구 자 볤츘계썄찄,5.0286,0.2615,9.2188,14.9556,11.4583,334,2025-10-17T13:19:14
331,1,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,엔지니어 가 새로운 기능 을 배포 했다,엔지니어 «가» 새로운 기능 «을» 배포 했다요,[간됼찄 배,5.0286,0.2615,9.2188,14.9556,11.4583,334,2025-10-17T13:19:14
332,0,ko,2,ko: 날짜를 ISO 형태로 변환,점검 2021년 7월 21일 완료,점검 2021-07-21 완료,점겙 2021-02-22 확인  ,1.2962,0.4059,8.8508,14.917,11.4583,335,2025-10-17T13:19:14
332,1,ko,2,ko: 날짜를 ISO 형태로 변환,데모 2020.11.30 준비,데모 2020-11-30 준비,데모 2020-11-30 요,1.2962,0.4059,8.8508,14.917,11.4583,335,2025-10-17T13:19:14
333,0,ko,2,ko: 숫자를 괄호로 감싸기,라운드 9 에서 2 득점,라운드 【9】 에서 【2】 득점,홓]]]]]]]]]]]]]]]]]]]]]])]]])]]]]])]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],4.6941,0.276,10.7169,18.1463,11.4583,336,2025-10-17T13:19:14
333,1,ko,2,ko: 숫자를 괄호로 감싸기,피드백 6 건 5 처리,피드백 【6】 건 【5】 처리,[[볜   리,4.6941,0.276,10.7169,18.1463,11.4583,336,2025-10-17T13:19:14
334,0,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,환경 설정 매뉴얼 검토,검토 매뉴얼 설정 환경 입니다,[ꬊ섋 )]])))]]]),4.4236,0.3015,11.4657,19.8226,11.4583,337,2025-10-17T13:19:14
334,1,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,학습 파이프라인 재구성,재구성 파이프라인 학습 입니다,< 밼]]),4.4236,0.3015,11.4657,19.8226,11.4583,337,2025-10-17T13:19:14
335,0,ja,3,ja: ひらがな を カタカナ に 変換,ほうこく を まとめる,ホウコク ヲ マトメル,アゆコク ヲ ゞエヂル,1.2995,0.4484,8.6864,14.8309,11.3929,338,2025-10-17T13:19:14
335,1,ja,3,ja: ひらがな を カタカナ に 変換,れんしゅう を つづける,レンシュウ ヲ ツヅケル,ガンシワエ ヲ イもケル,1.2995,0.4484,8.6864,14.8309,11.3929,338,2025-10-17T13:19:14
336,0,ja,3,ja: カタカナ を ひらがな に 変換,モデル ガ スタート,もでる が すたーと,ぢでに ガ タぼぁ,1.7198,0.4123,6.523,12.5118,11.3929,339,2025-10-17T13:19:14
336,1,ja,3,ja: カタカナ を ひらがな に 変換,プラン を コンファーム,ぷらん を こんふぁーむ,しぼぁ を めっぁめぼム,1.7198,0.4123,6.523,12.5118,11.3929,339,2025-10-17T13:19:14
337,0,ja,3,ja: 半角数字 を 全角 に,進捗 88 99,進捗 ８８ ９９,ゲ㍗  .)〚))))))))))))))),3.9518,0.2718,6.4096,13.1803,11.3929,340,2025-10-17T13:19:14
337,1,ja,3,ja: 半角数字 を 全角 に,チェック 321,チェック ３２１,もェヂク 21ェ.。))ェも㧂)もももももももも,3.9518,0.2718,6.4096,13.1803,11.3929,340,2025-10-17T13:19:14
338,0,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,배포 schedule final 확정,확정 FINAL SCHEDULE 배포,[[               )]]))),4.7734,0.2763,9.0079,18.1621,11.4583,341,2025-10-17T13:19:14
338,1,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,사용자 feedback queue 정리,정리 QUEUE FEEDBACK 사용자,[[         ],4.7734,0.2763,9.0079,18.1621,11.4583,341,2025-10-17T13:19:14
339,0,base,0,base: sort tokens by length ascending,agent plan code spec,plan code spec agent,cia  e    ee  aeu ae,2.9406,0.3598,7.8984,16.4174,11.5183,342,2025-10-17T13:19:14
339,1,base,0,base: sort tokens by length ascending,shift align scale move,move shift align scale,[   ee   i euee ie    ,2.9406,0.3598,7.8984,16.4174,11.5183,342,2025-10-17T13:19:14
340,0,en,1,en: keep tokens containing at least two vowels,vivid aurora covers entire horizon,vivid aurora covers entire horizon,vivid aurora eovers entire horibon,0.3014,0.4384,4.6891,8.8538,10.8949,343,2025-10-17T13:19:15
340,1,en,1,en: keep tokens containing at least two vowels,shallow river carries smooth pebbles,shallow river carries smooth pebbles,shallow river earries smooth rebbles,0.3014,0.4384,4.6891,8.8538,10.8949,343,2025-10-17T13:19:15
341,0,en,1,en: reverse tokens then uppercase every 2nd token,hidden lantern guides travelers,TRAVELERS guides LANTERN hidden,[[nnE       u       u  u  EnEuu]]],3.7936,0.3266,4.5161,10.4673,10.8949,344,2025-10-17T13:19:15
341,1,en,1,en: reverse tokens then uppercase every 2nd token,autumn breeze wakes valley,VALLEY wakes BREEZE autumn,[[v     uu b      u       ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],3.7936,0.3266,4.5161,10.4673,10.8949,344,2025-10-17T13:19:15
342,0,en,1,en: dedupe tokens then wrap digits with [],memory 8 pulse 8 pulse,memory [8] pulse,memoub 8 runse 8 rulue,2.9901,0.3604,3.2422,7.4321,10.8949,345,2025-10-17T13:19:15
342,1,en,1,en: dedupe tokens then wrap digits with [],matrix 1 1 1 reboot,matrix [1] reboot,oattix   1 1 reboot,2.9901,0.3604,3.2422,7.4321,10.8949,345,2025-10-17T13:19:15
343,0,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,vector field gamma delta,XGEVQT hkgnf icooc FGNVC,VECToR fIeLD gaMoa DELTA,2.4943,0.381,4.0776,7.8918,10.8949,346,2025-10-17T13:19:15
343,1,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,alpha beta gamma delta,CNRJC dgvc icooc FGNVC,ALPHa beta gappA DELTa,2.4943,0.381,4.0776,7.8918,10.8949,346,2025-10-17T13:19:15
344,0,base,0,base: add << >> then sort numeric tokens descending,memory 9 0 3 3,<<memory 9 3 0 3>>,ogo      0    ,2.7224,0.3722,3.7816,7.5752,11.5183,347,2025-10-17T13:19:15
344,1,base,0,base: add << >> then sort numeric tokens descending,signal 4 4 9 7,<<signal 9 4 4 7>>,[ i      4    ,2.7224,0.3722,3.7816,7.5752,11.5183,347,2025-10-17T13:19:15
345,0,en,1,en: append #index (1-based) to each token,gather labeled events nightly,gather#1 labeled#2 events#3 nightly#4,idvjgu nddgngd gvgpvu p ijvna],4.7287,0.2766,3.4768,7.1612,10.8949,348,2025-10-17T13:19:15
345,1,en,1,en: append #index (1-based) to each token,render summary table view,render#1 summary#2 table#3 view#4,u[pdgu uuoodub vdbng vlgw]]]]]],4.7287,0.2766,3.4768,7.1612,10.8949,348,2025-10-17T13:19:15
346,0,en,1,en: build acronym and append token count,neural task alignment process,NTAP (4),[[UTAE  Au  AnII EEOT sTOEEuu],4.3471,0.3009,4.6212,9.2944,10.8949,349,2025-10-17T13:19:15
346,1,en,1,en: build acronym and append token count,secure channel handshake sequence,SCHS (4),[EEUTE E A OEn HAODUHAEE SETUEEEE],4.3471,0.3009,4.6212,9.2944,10.8949,349,2025-10-17T13:19:15
347,0,base,0,base: evaluate arithmetic expression,calc(9*(4+3)),63,41443  ,3.4536,0.3473,4.4917,9.246,11.5183,350,2025-10-17T13:19:15
347,1,base,0,base: evaluate arithmetic expression,120/(4+6),120/(4+6),111 ,3.4536,0.3473,4.4917,9.246,11.5183,350,2025-10-17T13:19:15
348,0,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 9,sum=81,sumsq 9,3.6928,0.3286,4.1103,7.1899,11.5183,351,2025-10-17T13:19:15
348,1,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 2 3 6 1,sum=50,sumsq 2 3 6 1,3.6928,0.3286,4.1103,7.1899,11.5183,351,2025-10-17T13:19:15
349,0,base,0,base: factorial -> return n!,fact 7,5040,f0f,2.4615,0.3635,6.5088,8.3265,11.5183,352,2025-10-17T13:19:15
349,1,base,0,base: factorial -> return n!,fact 2,2,f0fv 2,2.4615,0.3635,6.5088,8.3265,11.5183,352,2025-10-17T13:19:15
350,0,base,0,base: range -> output span between max and min,range 100 60 80,span=40,(0nig 100060080,4.1893,0.3,5.7958,8.2423,11.5183,353,2025-10-17T13:19:15
350,1,base,0,base: range -> output span between max and min,range -3 -7 -1,span=6,(0nig -3 -7 -1,4.1893,0.3,5.7958,8.2423,11.5183,353,2025-10-17T13:19:15
351,0,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,연구 자 들 은 회의 에서 계획 을 공유 했다,연구 자 들 «은» 회의 «에서» 계획 «을» 공유 했다요,구 자 볤츘계썄찄,5.0286,0.2615,9.2188,14.9556,11.4583,354,2025-10-17T13:19:15
